[cs=0, path=0]
  102.000000, -41.883926
  102.878559, -42.000000
  103.000000, -42.019466
  104.000000, -42.168580
  105.000000, -42.308690
  106.000000, -42.427151
  107.000000, -42.513347
  108.000000, -42.568077
  109.000000, -42.595840
  110.000000, -42.593226
  111.000000, -42.556133
  112.000000, -42.498338
  113.000000, -42.460695
  114.000000, -42.478611
  115.000000, -42.570933
  116.000000, -42.794359
  116.503912, -43.000000
  117.000000, -43.341562
  117.910138, -44.000000
  118.000000, -44.066517
  119.000000, -44.735056
  119.267962, -45.000000
  120.000000, -45.729338
  120.157494, -46.000000
  120.516363, -47.000000
  120.584682, -48.000000
  120.413757, -49.000000
  120.000000, -49.925331
  119.970722, -50.000000
  119.458300, -51.000000
  119.000000, -51.875165
  118.929916, -52.000000
  118.506998, -53.000000
  118.276317, -54.000000
  118.504706, -55.000000
  119.000000, -55.546989
  119.346441, -56.000000
  120.000000, -56.578496
  120.474077, -57.000000
  121.000000, -57.410777
  121.937390, -58.000000
  122.000000, -58.042350
  123.000000, -58.619566
  123.810991, -59.000000
  124.000000, -59.143542
  125.000000, -59.811263
  125.331307, -60.000000
  126.000000, -60.828009
  126.179216, -61.000000
  127.000000, -61.772555
  127.275491, -62.000000
  128.000000, -62.351967
  129.000000, -62.753267
  129.624091, -63.000000
  130.000000, -63.252783
  131.000000, -63.763543
  131.564503, -64.000000
  131.000000, -64.364955
  130.000000, -64.668229
  129.000000, -64.778420
  128.000000, -64.788189
  127.000000, -64.730996
  126.000000, -64.611421
  125.000000, -64.418604
  124.000000, -64.139341
  123.560570, -64.000000
  123.000000, -63.874228
  122.000000, -63.672498
  121.000000, -63.426125
  120.000000, -63.032195
  119.941879, -63.000000
  119.000000, -62.330509
  118.668888, -62.000000
  118.000000, -61.022488
  117.986714, -61.000000
  117.507003, -60.000000
  117.050011, -59.000000
  117.000000, -58.904640
  116.584142, -58.000000
  116.160091, -57.000000
  116.000000, -56.673818
  115.632008, -56.000000
  115.000000, -55.399533
  114.464742, -55.000000
  114.000000, -54.748393
  113.000000, -54.666550
  112.776158, -55.000000
  112.479277, -56.000000
  112.321985, -57.000000
  112.327191, -58.000000
  112.517517, -59.000000
  112.833863, -60.000000
  113.000000, -60.398015
  113.327895, -61.000000
  113.809480, -62.000000
  114.000000, -62.554463
  114.205809, -63.000000
  114.800769, -64.000000
  115.000000, -64.158934
  116.000000, -64.818617
  116.313531, -65.000000
  117.000000, -65.225094
  118.000000, -65.471965
  119.000000, -65.682432
  120.000000, -65.895118
  120.546062, -66.000000
  121.000000, -66.047969
  122.000000, -66.113422
  123.000000, -66.155455
  124.000000, -66.198942
  125.000000, -66.265925
  126.000000, -66.368147
  127.000000, -66.511845
  128.000000, -66.701139
  129.000000, -66.932193
  129.285702, -67.000000
  130.000000, -67.096945
  131.000000, -67.202649
  132.000000, -67.280531
  133.000000, -67.336112
  134.000000, -67.370888
  135.000000, -67.388242
  136.000000, -67.393918
  137.000000, -67.387174
  138.000000, -67.360569
  139.000000, -67.312059
  140.000000, -67.250456
  141.000000, -67.184322
  142.000000, -67.110204
  143.000000, -67.015663
  143.123763, -67.000000
  144.000000, -66.892302
  145.000000, -66.719750
  146.000000, -66.501371
  147.000000, -66.261832
  148.000000, -66.028442
  148.127857, -66.000000
  149.000000, -65.822088
  150.000000, -65.604087
  151.000000, -65.369331
  152.000000, -65.118935
  152.447046, -65.000000
  153.000000, -64.829689
  154.000000, -64.474243
  155.000000, -64.092427
  155.255846, -64.000000
  156.000000, -63.713619
  157.000000, -63.275734
  157.586946, -63.000000
  158.000000, -62.779955
  158.982694, -62.000000
  159.000000, -61.990646
  160.000000, -61.377184
  160.452837, -61.000000
  161.000000, -60.735314
  162.000000, -60.168033
  162.261795, -60.000000
  163.000000, -59.668657
  164.000000, -59.195930
  164.388879, -59.000000
  165.000000, -58.761257
  166.000000, -58.407398
  167.000000, -58.113005
  167.495618, -58.000000
  168.000000, -57.886792
  169.000000, -57.708381
  170.000000, -57.528605
  171.000000, -57.344975
  172.000000, -57.179675
  173.000000, -57.000368
  173.001864, -57.000000
  174.000000, -56.783912
  175.000000, -56.587711
  176.000000, -56.393204
  177.000000, -56.168972
  177.667431, -56.000000
  178.000000, -55.919564
  179.000000, -55.659223
[cs=0, path=2]
  -180.000000, -37.206121
  -179.000000, -37.603360
  -178.125919, -38.000000
  -178.000000, -38.044924
  -177.000000, -38.346703
  -176.000000, -38.610716
  -175.000000, -38.861327
  -174.446059, -39.000000
  -174.000000, -39.122897
  -173.000000, -39.401713
  -172.000000, -39.654745
  -171.000000, -39.841679
  -170.000000, -39.923276
  -169.000000, -39.856370
  -168.000000, -39.669526
  -167.000000, -39.327030
  -166.513940, -39.000000
  -166.000000, -38.233325
  -165.887882, -38.000000
  -165.810228, -37.000000
  -165.841883, -36.000000
  -166.000000, -35.153262
  -166.155691, -35.000000
  -167.000000, -34.450355
  -168.000000, -34.691947
  -169.000000, -34.616578
  -169.250016, -34.000000
  -169.000000, -33.883854
  -168.000000, -33.623760
  -167.000000, -33.636007
  -166.000000, -33.657837
  -165.000000, -33.041923
  -164.966526, -33.000000
  -164.000000, -32.365274
  -163.596854, -32.000000
  -163.000000, -31.637280
  -162.134534, -31.000000
  -162.000000, -30.922711
  -161.000000, -30.228422
  -160.709889, -30.000000
  -160.000000, -29.437914
  -159.513781, -29.000000
  -159.000000, -28.525122
  -158.444232, -28.000000
  -158.000000, -27.595726
  -157.287959, -27.000000
  -157.000000, -26.759083
  -156.000000, -26.058748
  -155.889408, -26.000000
  -155.000000, -25.482200
  -154.000000, -25.194036
  -153.000000, -25.259627
  -152.000000, -25.535935
  -151.000000, -25.837223
  -150.442655, -26.000000
  -150.000000, -26.120973
  -149.000000, -26.415676
  -148.000000, -26.821756
  -147.687687, -27.000000
  -147.000000, -27.713652
  -146.748163, -28.000000
  -146.000000, -28.552066
  -145.453070, -29.000000
  -145.000000, -29.227386
  -144.000000, -29.820433
  -143.786719, -30.000000
  -143.000000, -30.575557
  -142.522182, -31.000000
  -142.000000, -31.518197
  -141.546541, -32.000000
  -141.000000, -32.557471
  -140.545824, -33.000000
  -140.000000, -33.521941
  -139.411756, -34.000000
  -139.000000, -34.369060
  -138.011695, -35.000000
  -138.000000, -35.009340
  -137.000000, -35.477921
  -136.000000, -35.656097
  -135.000000, -35.763877
  -134.000000, -35.904529
  -133.529181, -36.000000
  -133.000000, -36.157136
  -132.000000, -36.494497
  -131.000000, -36.812693
  -130.435507, -37.000000
  -130.000000, -37.216051
  -129.000000, -37.663881
  -128.336407, -38.000000
  -128.000000, -38.329697
  -127.121643, -39.000000
  -127.000000, -39.483176
  -126.763175, -40.000000
  -127.000000, -40.271789
  -128.000000, -40.799595
  -129.000000, -40.939072
  -130.000000, -40.698732
  -131.000000, -40.274138
  -131.834600, -40.000000
  -132.000000, -39.971598
  -133.000000, -39.969981
  -133.083011, -40.000000
  -134.000000, -40.530521
  -134.372786, -41.000000
  -135.000000, -41.961551
  -135.011102, -42.000000
  -135.000000, -42.018494
  -134.484975, -43.000000
  -134.000000, -43.373269
  -133.159021, -44.000000
  -133.000000, -44.070222
  -132.000000, -44.381924
  -131.000000, -44.611140
  -130.000000, -44.837474
  -129.382375, -45.000000
  -129.000000, -45.053130
  -128.000000, -45.089882
  -127.000000, -45.069789
  -126.000000, -45.041947
  -125.087185, -45.000000
  -125.000000, -44.985185
  -124.000000, -44.865499
  -123.000000, -44.799643
  -122.000000, -44.615732
  -121.048398, -44.000000
  -121.000000, -43.958432
  -120.000000, -43.144344
  -119.683746, -43.000000
  -119.000000, -42.877834
  -118.000000, -42.779075
  -117.000000, -42.714771
  -116.000000, -42.654701
  -115.000000, -42.574959
  -114.000000, -42.463611
  -113.000000, -42.314405
  -112.000000, -42.115303
  -111.558135, -42.000000
  -111.000000, -41.878531
  -110.000000, -41.644345
  -109.000000, -41.396149
  -108.000000, -41.110131
  -107.669128, -41.000000
  -107.000000, -40.805899
  -106.000000, -40.498055
  -105.000000, -40.137665
  -104.660113, -40.000000
  -104.000000, -39.750770
  -103.000000, -39.353107
  -102.230127, -39.000000
  -102.000000, -38.894842
  -101.000000, -38.463274
  -100.121221, -38.000000
  -100.000000, -37.936355
  -99.000000, -37.439629
  -98.279914, -37.000000
  -98.000000, -36.849013
  -97.000000, -36.394119
  -96.062853, -36.000000
  -96.000000, -35.977148
  -95.000000, -35.782177
  -94.000000, -35.711889
  -93.000000, -35.710598
  -92.000000, -35.746666
  -91.000000, -35.803350
  -90.000000, -35.878366
  -89.000000, -35.981064
  -88.840677, -36.000000
  -88.000000, -36.102375
  -87.000000, -36.226125
  -86.000000, -36.379873
  -85.000000, -36.581585
  -84.000000, -36.841160
  -83.504681, -37.000000
  -83.000000, -37.141193
  -82.000000, -37.405224
  -81.000000, -37.620381
  -80.000000, -37.770505
  -79.000000, -37.860538
  -78.000000, -37.905642
  -77.000000, -37.883984
  -76.000000, -37.791916
  -75.000000, -37.775220
  -74.000000, -37.807732
  -73.000000, -37.726393
  -72.000000, -37.706047
  -71.000000, -37.830413
  -70.000000, -37.931557
  -69.469641, -38.000000
  -69.000000, -38.044016
  -68.000000, -38.136014
  -67.119696, -38.000000
  -67.000000, -37.936101
  -66.250955, -37.000000
  -66.000000, -36.564532
  -65.649960, -36.000000
  -65.000000, -35.521539
  -64.159094, -35.000000
  -64.000000, -34.867714
  -63.000000, -34.034117
  -62.952523, -34.000000
  -62.813410, -33.000000
  -63.000000, -32.911877
  -64.000000, -32.533174
  -65.000000, -32.316480
  -66.000000, -32.354075
  -67.000000, -32.404647
  -67.897904, -32.000000
  -68.000000, -31.974752
  -69.000000, -31.599202
  -70.000000, -31.316624
  -70.849094, -31.000000
  -71.000000, -30.949424
  -72.000000, -30.707230
  -73.000000, -30.907701
  -73.226933, -31.000000
  -74.000000, -31.448629
  -75.000000, -31.599168
  -76.000000, -31.449483
  -77.000000, -31.155793
  -77.399440, -31.000000
  -78.000000, -30.825995
  -79.000000, -30.540859
  -80.000000, -30.274540
  -81.000000, -30.012963
  -81.051518, -30.000000
  -82.000000, -29.798392
  -83.000000, -29.592845
  -84.000000, -29.393205
  -85.000000, -29.218343
  -86.000000, -29.100805
  -87.000000, -29.062954
  -88.000000, -29.095986
  -89.000000, -29.158756
  -90.000000, -29.214613
  -91.000000, -29.253938
  -92.000000, -29.269843
  -93.000000, -29.252715
  -94.000000, -29.212938
  -95.000000, -29.169509
  -96.000000, -29.127529
  -97.000000, -29.103867
  -98.000000, -29.151275
  -99.000000, -29.304057
  -100.000000, -29.526011
  -101.000000, -29.766549
  -101.913887, -30.000000
  -102.000000, -30.020175
  -103.000000, -30.254058
  -104.000000, -30.411446
  -105.000000, -30.518721
  -106.000000, -30.657019
  -107.000000, -30.830451
  -107.859806, -31.000000
  -108.000000, -31.036108
  -109.000000, -31.378787
  -110.000000, -31.785510
  -110.593286, -32.000000
  -111.000000, -32.137500
  -112.000000, -32.357770
  -113.000000, -32.492729
  -114.000000, -32.591712
  -115.000000, -32.685149
  -116.000000, -32.799194
  -117.000000, -32.886101
  -118.000000, -32.890094
  -119.000000, -32.925287
  -119.475108, -33.000000
  -120.000000, -33.088888
  -121.000000, -33.184889
  -122.000000, -33.075056
  -122.266719, -33.000000
  -123.000000, -32.772340
  -124.000000, -32.225375
  -124.298964, -32.000000
  -125.000000, -31.471548
  -125.669372, -31.000000
  -126.000000, -30.730505
  -127.000000, -30.031091
  -127.063121, -30.000000
  -128.000000, -29.306627
  -128.969205, -29.000000
  -129.000000, -28.987407
  -130.000000, -28.678882
  -131.000000, -28.303882
  -132.000000, -28.010501
  -132.032322, -28.000000
  -133.000000, -27.651938
  -134.000000, -27.316755
  -135.000000, -27.097879
  -136.000000, -27.076441
  -137.000000, -27.095373
  -138.000000, -27.122603
  -139.000000, -27.103750
  -139.577414, -27.000000
  -140.000000, -26.920201
  -141.000000, -26.665701
  -142.000000, -26.239559
  -142.323676, -26.000000
  -143.000000, -25.490781
  -143.687935, -25.000000
  -144.000000, -24.661309
  -144.816339, -24.000000
  -145.000000, -23.719968
  -145.718787, -23.000000
  -146.000000, -22.758597
  -146.965245, -22.000000
  -147.000000, -21.986575
  -148.000000, -21.594720
  -149.000000, -21.169583
  -149.475742, -21.000000
  -150.000000, -20.888087
  -151.000000, -20.718845
  -152.000000, -20.550212
  -153.000000, -20.410385
  -154.000000, -20.379536
  -155.000000, -20.489420
  -156.000000, -20.729865
  -156.748555, -21.000000
  -157.000000, -21.103945
  -158.000000, -21.542042
  -159.000000, -21.994364
  -159.012564, -22.000000
  -160.000000, -22.481717
  -161.000000, -22.920844
  -161.222826, -23.000000
  -162.000000, -23.264965
  -163.000000, -23.513742
  -164.000000, -23.743556
  -165.000000, -23.999140
  -165.003288, -24.000000
  -166.000000, -24.277576
  -167.000000, -24.608664
  -168.000000, -24.952757
  -168.156345, -25.000000
  -169.000000, -25.304760
  -170.000000, -25.655946
  -170.890212, -26.000000
  -171.000000, -26.038546
  -172.000000, -26.401421
  -173.000000, -26.746636
  -173.870723, -27.000000
  -174.000000, -27.028031
  -175.000000, -27.183022
  -176.000000, -27.268409
  -177.000000, -27.295846
  -178.000000, -27.284954
  -179.000000, -27.261075
  -180.000000, -27.230498
[cs=0, path=3]
  179.000000, -27.185838
